case_id,week,popwght,state,nielsen,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,c1,c1a,qnco1,qnco3,partycbs,pphl3,age30,age50,age65,age5,degree,income3,income10,married,parents,cbsrace,cbsreli6,cbsreli2,cbschris,sumo1,sumo2,su3rot,sumo3,su4rot,sumo4,su5rot,sumo5,sumo6,sumo9,sumo7,su8rot,sumo8,sumo10,sumo11,su12rot,sumo12,su13rot,sumo13
10000014,803,.3955,CO,D,Non-Metro,West,Mountain,Owned,Refused,Refused,One,One,One,None, , , , , , , , , , , , , , , , , , , ,Refused,50-64,Refused,Refused,White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 1-5 asked,Don't know,Yes,None,Male,Protestant,Landline,No, , , , ,Democrats,Don't know/no answer,30+,50+,18-64,Don't know/no answer,Don't know/no answer,Don't know/no answer,Don't know/no answer,Don't know/no answer,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Right amount,small/big,Big screen,at home/in theater,More at home,Don't know/no answer,Will watch,"No, won't eat pizza",25341,Pepperoni,Don't know/no answer,Don't know/no answer,women/men,No difference,size/quality,Quality
10000016,803,.9339,SD,D,Non-Metro,North Central,West North Central,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,Refused,65+,Less than high school graduate,"$100,000 to under $150,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 1-5 asked,Moderate,Yes,None,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,65+,65+,No degree,$100k+,$100k+,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Frequently,too many/too few,Right amount,small/big,Don't know/no answer,in theater/at home,More at home,Don't know/no answer,Won't watch, ,54123,Sausage,No,Yes,men/women,No difference,quality/size,Quality
10000017,803,.6772,PA,C,Center City County (Metro),North East,Mid Atlantic,Owned,Married,Part-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,Refused,50-64,Graduate school or more,Refused,White Non-Hispanic,Male Democrat/Republican,A Republican,d3 5-1 asked,Somewhat conservative,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Republicans,Conservative,30+,50+,18-64,Don't know/no answer,Post grad,Don't know/no answer,Don't know/no answer,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Right amount,big/small,Small screen,in theater/at home,More at home,Quality of work,Will watch,"No, won't eat pizza",14352,Sausage,Yes,No,women/men,Women more romantic,size/quality,Quality
10000018,803,.25,UT,B,Center City County (Metro),West,Mountain,Owned,Divorced,Full-time,One,One,None,One, , , , , , , , , , , , , , , , , , , ,67, ,Some college,"$50,000 but less than $75,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 1-5 asked,Moderate,Yes,None,Female,Nothing in particular,Landline,No, , , , ,Independents,Moderate,30+,50+,65+,65+,No degree,$50k but under $100k,Under $100k,Not married,No,White,None,Non-religious,No,Wouldn't matter much,Rarely,too many/too few,Too many,small/big,Big screen,at home/in theater,More at home,Don't know/no answer,Won't watch, ,45312,Pepperoni,Yes,Yes,men/women,Women more romantic,quality/size,Quality
10000019,803,.5333,IN,A,Center City County (Metro),North Central,East North Central,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,72, ,High school graduate,Refused,White Non-Hispanic,Male Republican/Democrat,Refused,d3 5-1 asked,Somewhat conservative,Yes,One,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Conservative,30+,50+,65+,65+,No degree,Don't know/no answer,Don't know/no answer,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,small/big,Small screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",12345,Sausage,Yes,No,women/men,Men more romantic,quality/size,Quality
10000020,803,.8996,TX,A,Center City (Metro),South,West South Central,Owned,"Single, living with a partner",Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,46, ,High school graduate,"$40,000 but less than $50,000",Black Non-Hispanic,Male Republican/Democrat,An Independent,d3 1-5 asked,Moderate,Yes,None,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Moderate,30+,18-49,18-64,45-54,No degree,Under $50k,Under $100k,Not married,No,Black,None,Non-religious,No,Wouldn't matter much,Sometimes,too many/too few,Right amount,big/small,Big screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",15423,Sausage,No,Yes,men/women,Women more romantic,size/quality,Quality
10000021,803,1.5865,AR,D,Non-Metro,South,West South Central,Rented,"Single, that is never married",Full-time,Six,Four,One,Three,None,None,Two, , , , , , , , , , ,4,2, , , ,Yes,38, ,High school graduate,"$50,000 but less than $75,000",Black Non-Hispanic,Male Democrat/Republican,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,18-49,18-64,35-44,No degree,$50k but under $100k,Under $100k,Not married,Yes,Black,None,Non-religious,No,Wouldn't matter much,Frequently,too few/too many,Too many,big/small,Big screen,at home/in theater,More at home,Quality of work,Won't watch, ,25413,Sausage,No,No,women/men,Women more romantic,size/quality,Quality
10000022,803,.8711,VT,C,Center City County (Metro),North East,New England,Rented,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,73, ,High school graduate,"$30,000 but less than $40,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Very conservative,Yes,None,Male,"Catholic, Roman Catholic",Landline,No, , , , ,Independents,Conservative,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Rarely,too many/too few,Don't know/no answer,big/small,Small screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",54132,Pepperoni,No,Yes,men/women,Women more romantic,size/quality,Quality
10000023,803,.4315,NJ,A,Non-Center City (Metro),North East,Mid Atlantic,Owned,Divorced,Full-time,One,One,One,None, , , , , , , , , , , , , , , , , , , ,60, ,Graduate school or more,"$100,000 to under $150,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Moderate,Yes,None,Male,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Independents,Moderate,30+,50+,18-64,55-64,Post grad,$100k+,$100k+,Not married,No,White,Jewish,Religious,No,Less likely,Sometimes,too few/too many,Too many,small/big,Big screen,at home/in theater,More at home,Prejudice played a role,Will watch,"Yes, will eat pizza",32415,Pepperoni,Yes,Yes,women/men,Women more romantic,size/quality,Quality
10000024,803,.9625,WY,D,Non-Metro,West,Mountain,Owned,Married,Homemaker,Three,Two,One,One,One,None,None,17, , , , , , , , , , , , , , ,Yes,55, ,Graduated college,Refused,White Non-Hispanic,Male Republican/Democrat,A Republican,d3 5-1 asked,Somewhat conservative,Yes,Refused,Female,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,50+,18-64,55-64,College,Don't know/no answer,Don't know/no answer,Married,Yes,White,Other,Religious,Yes,Wouldn't matter much,Rarely,too many/too few,Right amount,big/small,Small screen,in theater/at home,More at home,Quality of work,Won't watch, ,15234,Pepperoni,Don't know/no answer,Don't know/no answer,women/men,Women more romantic,size/quality,Quality
10000025,803,.4366,IN,B,Surburban (Metro),North Central,East North Central,Owned,Divorced,Retired,Two,Two,None,Two, , , , , , , , , , , , , , , , , , , ,80, ,Technical school/other,"$15,000 but less than $25,000",White Non-Hispanic,Male Republican/Democrat,A Republican,d3 5-1 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too few/too many,Right amount,big/small,Small screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",41325,Sausage,Yes,Yes,women/men,Men more romantic,quality/size,Quality
10000026,803,.9081,CO,D,Non-Metro,West,Mountain,Owned,Married,Homemaker,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,58, ,High school graduate,Refused,Refused,Male Republican/Democrat,A Republican,d3 5-1 asked,Somewhat conservative,Yes,One,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,50+,18-64,55-64,No degree,Don't know/no answer,Don't know/no answer,Married,No,Don't know/No answer,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too many/too few,Right amount,small/big,Big screen,in theater/at home,Same amount,Quality of work,Will watch,"No, won't eat pizza",51342,Pepperoni,Yes,No,women/men,Women more romantic,quality/size,Quality
10000027,803,.2599,NY,B,Center City (Metro),North East,Mid Atlantic,Owned,"Single, that is never married",Retired,One,One,One,None, , , , , , , , , , , , , , , , , , , ,83, ,Some college,"$15,000 but less than $25,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Somewhat conservative,Yes,None,Male,Protestant,Landline,No, , , , ,Independents,Conservative,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Right amount,big/small,Don't know/no answer,in theater/at home,Don't know/no answer,Don't know/no answer,Will watch,"No, won't eat pizza",12453,Pepperoni,No,No,men/women,Women more romantic,quality/size,Quality
10000028,803,.42,MI,D,Non-Metro,North Central,East North Central,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,79, ,Some college,"$40,000 but less than $50,000",White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Democrats,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Right amount,big/small,Big screen,at home/in theater,More at a theater,Quality of work,Will watch,"Yes, will eat pizza",43215,Pepperoni,Yes,Yes,women/men,Women more romantic,size/quality,Quality
10000029,803,.7851,IN,D,Non-Metro,North Central,East North Central,Rented,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,90, ,Less than high school graduate,"$50,000 but less than $100,000 (Unspecified)",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Moderate,No,None,Female,"Catholic, Roman Catholic",Landline,No, , , , ,Independents,Moderate,30+,50+,65+,65+,No degree,$50k but under $100k,Under $100k,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Never,too many/too few,Too many,big/small,Small screen,in theater/at home,More at home,Quality of work,Depends, ,32514,Pepperoni,No,No,women/men,Women more romantic,quality/size,Quality
10000030,803,.2916,CA,A,Non-Center City (Metro),West,Pacific,Owned,Widowed,Retired,One,One,One,None, , , , , , , , , , , , , , , , , , , ,72, ,Some college,"$25,000 but less than $30,000",Black Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Moderate,Yes,None,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Independents,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,Black,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Small screen,in theater/at home,More at home,Don't know/no answer,Will watch,"No, won't eat pizza",54123,Sausage,Yes,No,women/men,Women more romantic,quality/size,Quality
10000031,803,1.6543,NJ,A,Non-Center City (Metro),North East,Mid Atlantic,Owned,Married,Full-time,Six,Three,Two,One,One,Two,None,16, , , , ,10,8, , , , , , , , ,Yes,44, ,Graduated college,"$150,000 to under $200,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Somewhat liberal,Yes,None,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Liberal,30+,18-49,18-64,35-44,College,$100k+,$100k+,Married,Yes,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Right amount,small/big,Small screen,at home/in theater,More at home,Prejudice played a role,Will watch,"No, won't eat pizza",24351,Mushrooms,No,No,women/men,Women more romantic,quality/size,Size
10000032,803,1.2459,NM,C,Non-Metro,West,Mountain,Owned,Married,Full-time,Three,Two,One,One,One,None,None,13, , , , , , , , , , , , , , ,Yes,45, ,High school graduate,"$75,000 but less than $100,000",White Non-Hispanic,Male Republican/Democrat,Other,d3 1-5 asked,Somewhat liberal,Yes,None,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Liberal,30+,18-49,18-64,45-54,No degree,$50k but under $100k,Under $100k,Married,Yes,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too many/too few,Too many,small/big,Big screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",32541,Pepperoni,Yes,No,men/women,No difference,size/quality,Quality
10000033,803,.6418,NY,C,Non-Metro,North East,Mid Atlantic,Owned,Married,Full-time,Three,Three,Two,One, , , , , , , , , , , , , , , , , , , ,60, ,Graduated college,"$75,000 but less than $100,000",White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 1-5 asked,Somewhat liberal,Yes,None,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Democrats,Liberal,30+,50+,18-64,55-64,College,$50k but under $100k,Under $100k,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,small/big,Big screen,in theater/at home,More at home,Quality of work,Will watch,"Yes, will eat pizza",53412,Pepperoni,Yes,Yes,women/men,Women more romantic,quality/size,Quality
10000034,803,1.013,FL,B,Surburban (Metro),South,South Atlantic,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,40, ,Graduate school or more,"$150,000 to under $200,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Moderate,Yes,None,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Independents,Moderate,30+,18-49,18-64,35-44,Post grad,$100k+,$100k+,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Big screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",41352,Pepperoni,Yes,No,men/women,Women more romantic,quality/size,Quality
10000035,803,.6691,FL,B,Center City (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,88, ,Graduated college,"$30,000 but less than $40,000",Black Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Don't know,Yes,None,Male,Baptist,Landline,No, , , , ,Democrats,Don't know/no answer,30+,50+,65+,65+,College,Under $50k,Under $100k,Married,No,Black,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Don't know/no answer,big/small,Don't know/no answer,in theater/at home,Don't know/no answer,Depends,Will watch,"No, won't eat pizza",14532,Mushrooms,Yes,No,men/women,No difference,quality/size,Quality
10000036,803,.8328,OH,D,Non-Metro,North Central,East North Central,Owned,"Single, living with a partner",Full-time,Three,Two,One,One,One,None,None,15, , , , , , , , , , , , , , ,Yes,45, ,Some college,"$30,000 but less than $40,000",White Non-Hispanic,Male Democrat/Republican,Refused,d3 1-5 asked,Refused,No,None,Male,Baptist,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Don't know/no answer,30+,18-49,18-64,45-54,No degree,Under $50k,Under $100k,Not married,Yes,White,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too many/too few,Too many,big/small,Small screen,in theater/at home,More at home,Quality of work,Won't watch, ,15234,Pepperoni,Yes,Yes,women/men,Women more romantic,size/quality,Quality
10000037,803,.7932,NH,A,Surburban (Metro),North East,New England,Owned,Married,Disabled/Handicapped,Three,Three,Two,One, , , , , , , , , , , , , , , , , , , ,54, ,Some college,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 1-5 asked,Don't know,Yes,Two,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Don't know/no answer,30+,50+,18-64,45-54,No degree,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Frequently,too many/too few,Right amount,small/big, Doesn't matter,at home/in theater,More at home,Depends,Will watch,"Yes, will eat pizza",21543,Onions,Yes,No,men/women,Women more romantic,quality/size,Quality
10000039,803,.6402,MO,A,Surburban (Metro),North Central,West North Central,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,68, ,Some college,Refused,White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Somewhat liberal,Yes,None,Female,"Catholic, Roman Catholic",Landline,No, , , , ,Independents,Liberal,30+,50+,65+,65+,No degree,Don't know/no answer,Don't know/no answer,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,big/small,Big screen,at home/in theater,Same amount,Don't know/no answer,Will watch,"Yes, will eat pizza",51423,Pepperoni,No,Yes,men/women,Women more romantic,size/quality,Quality
10000041,803,.8703,IN,B,Surburban (Metro),North Central,East North Central,Owned,Married,Homemaker,Four,Two,One,One,Two,None,None,16,12, , , , , , , , , , , , , ,Yes,46, ,Graduated college,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 1-5 asked,Moderate,Yes,None,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Moderate,30+,18-49,18-64,45-54,College,$50k but under $100k,Under $100k,Married,Yes,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too few/too many,Right amount,big/small,Small screen,at home/in theater,More at home,Don't know/no answer,Won't watch, ,25341,Pepperoni,Yes,Yes,women/men,Women more romantic,quality/size,Quality
10000042,803,.9535,MN,A,Center City (Metro),North Central,West North Central,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,Refused,50-64,Graduated college,"$100,000 and over (Unspecified)",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Moderate,30+,50+,18-64,Don't know/no answer,College,$100k+,$100k+,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,small/big,Big screen,in theater/at home,More at home,Quality of work,Will watch,"No, won't eat pizza",43152,Pepperoni,Yes,Yes,men/women,Women more romantic,quality/size,Size
10000043,803,.2832,FL,B,Surburban (Metro),South,South Atlantic,Owned,Divorced,Part-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,65, ,Graduate school or more,"$100,000 to under $150,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 1-5 asked,Somewhat liberal,Yes,None,Female,Agnostic,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Independents,Liberal,30+,50+,65+,65+,Post grad,$100k+,$100k+,Not married,No,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too many/too few,Too many,small/big,Big screen,at home/in theater,More at a theater,Prejudice played a role,Will watch,"Yes, will eat pizza",23415,Sausage,Yes,Yes,men/women,Women more romantic,quality/size,Quality
